Northwick Park,Brent,28 June 1923,4,4.65,,,,
Northwood,Hillingdon,1 September 1887,6,2.49,,,,
Northwood Hills,Hillingdon,13 November 1933,6,1.91,,,,
Notting Hill Gate,Kensington and Chelsea,1 October 1868,1~2,17.18,,,,
Oakwood,Enfield,13 March 1933,5,2.88,,,,
Old Street,Islington,17 November 1901,1,25.97,,,,
Osterley,Hounslow,1 May 1883,4,2.32,,,,
Oval,Lambeth,18 December 1890,2,6.45,,,,
Oxford Circus,City of Westminster,30 July 1900,1,83.26,,,,
Paddington,City of Westminster,1 October 1868,1,49.48,,,,
Paddington,City of Westminster,10 January 1863,1,49.48,,,,
Park Royal,Ealing,23 June 1903,3,2.02,,,,
Parsons Green,Hammersmith and Fulham,1 March 1880,2,6.75,,,,
Perivale,Ealing,30 June 1947,4,2.46,,,,
Piccadilly Circus,City of Westminster,10 March 1906,1,41.29,,,,
Pimlico,City of Westminster,14 September 1972,1,11.49,,,,
Pinner,Harrow,25 May 1885,5,3.2,,,,
Plaistow,Newham,02 June 1902,3,5.49,,,,
Preston Road,Brent,21 May 1908,4,3.31,,,,
Putney Bridge,Hammersmith and Fulham,1 March 1880,2,5.42,,,,
Queen's Park,Brent,11 February 1915,2,5.64,,,,
Queensbury,Brent,16 December 1934,4,4.68,,,,
Queensway,City of Westminster,30 July 1900,1,8.71,,,,
Ravenscourt Park,Hammersmith and Fulham,1 June 1877,2,3.18,,,,
Rayners Lane,Harrow,26 May 1906,5,4.46,,,,
Redbridge,Redbridge,14 December 1947,4,3.05,,,,
Regent's Park,City of Westminster,10 March 1906,1,3.35,,,,
Richmond,Richmond,1 June 1877,4,8.11,,,,
Rickmansworth,Three Rivers,1 September 1887,7,2.46,,,,
Roding Valley,Epping Forest,21 November 1948,4,0.37,,,,
Royal Oak,City of Westminster,30 October 1871,2,2.55,,,,
Ruislip,Hillingdon,04 July 1904,6,1.95,,,,
Ruislip Gardens,Hillingdon,29 November 1948,5,1.07,,,,
Ruislip Manor,Hillingdon,05 August 1912,6,1.99,,,,
Russell Square,Camden,15 December 1906,1,12.35,,,,
Seven Sisters,Haringey,01 September 1968,3,18.61,,,,
Shepherd's Bush,Hammersmith and Fulham,30 July 1900,2,22.85,,,,
Shepherd's Bush Market,Hammersmith and Fulham,13 June 1864,2,3.57,,,,
Sloane Square,Kensington and Chelsea,24 December 1868,1,17.15,,,,
