Hyde Park Corner ,16, , , , , , , , , , , , , , ,88.9,88.9, , , , 
Ickenham ,43, , , , , , , , , , ,138.1,138.1, , , , , , , , 
Kennington City Branch,3, , , , , , , , , , , , ,87.1,84.4, , , , , , 
Kennington Charing X Branch,3, , , , , , , , , , , , ,86.9,84.6, , , , , , 
Kensal Green ,42, , , , , , , , , , , , , , ,135.4,135.4, , , , 
Kensington ( Olympia ) ,4, , , , ,102.1,102.1, , , , , , , , , , , , , , 
Kentish Town ,37, , , , , , , , , , , , ,115.9,112.9, , , , , , 
Kenton ,56, , , , , , , , , , , , , , ,149.4,149.4, , , , 
Kew Gardens ,8, , , , ,106.0,106.0, , , , , , , , , , , , , , 
Kilburn ,45, , , , , , , , ,152.2,152.2, , , , , , , , , , 
Kilburn Park ,27,119.5,119.5, , , , , , , , , , , , , , , , , , 
King's Cross St Pancras,17, , , , , , , , , , ,109.1,109.1,88.9,88.9,94.4,94.4,99.9,99.9, , 
Kingsbury ,43, , , , , , , , ,138.3,138.3, , , , , , , , , , 
Knightsbridge ,9, , , , , , , , , , , , , , ,86.7,86.7, , , , 
Ladbroke Grove ,14, , , , , , ,119.4,119.4, , , , , , , , , , , , 
Lambeth North ,3,86.7,86.3, , , , , , , , , , , , , , , , , , 
Lancaster Gate ,18, , ,102.5,102.5, , , , , , , , , , , , , , , , 
Latimer Road ,8, , , , , , ,114.0,114.0, , , , , , , , , , , , 
Leicester Square ,20, , , , , , , , , , , , ,93.5,93.5,86.8,86.8, , , , 
Leyton ,15, , ,110.0,110.0, , , , , , , , , , , , , , , , 
Leytonstone ,23.2, , ,123.1,123.1, , , , , , , , , , , , , , , , 
Liverpool Street ,14, , ,92.5,92.5, , , , , , ,107.4,107.4, , , , , , , , 
London Bridge ,4, , , , , , , , ,76.8,76.8, , ,80.4,80.4, , , , , , 
Loughton ,27, , ,129.6,129.6, , , , , , , , , , , , , , , , 
Maida Vale ,31,116.6,116.6, , , , , , , , , , , , , , , , , , 
Manor House ,38, , , , , , , , , , , , , , ,119.5,119.5, , , , 
Mansion House ,14, , , , ,105.0,105.0, , , , , , , , , , , , , , 
Marble Arch ,27, , ,101.4,101.4, , , , , , , , , , , , , , , , 
Marylebone ,29,106.4,106.4, , , , , , , , , , , , , , , , , , 
Mile End ,12, , ,104.8,104.9,104.7,104.7, , , , , , , , , , , , , , 
Mill Hill East ,65, , , , , , , , , , , , ,170.8,170.8, , , , , , 
Monument ,14.3, , , , ,106.2,106.2, , , , , , , , , , , , , , 
Moor Park ,57, , , , , , , , , , ,161.5,161.5, , , , , , , , 
Moorgate ,14, , , , , , , , , , ,108.5,108.5,88.7,88.8, , , , , , 
Morden ,18, , , , , , , , , , , , ,113.6,113.6, , , , , , 
Mornington Crescent ,24, , , , , , , , , , , , ,108.7,108.7, , , , , , 
Neasden ,38, , , , , , , , ,132.2,132.2, , , , , , , , , , 
New Cross ,11, , , , , , , , , , , , , , , , , , , , 
New Cross Gate ,13, , , , , , , , , , , , , , , , , , , , 
Newbury Park ,19, , ,117.0,117.0, , , , , , , , , , , , , , , , 
North Acton ,33, , ,124.4,124.4, , , , , , , , , , , , , , , , 
North Ealing ,36, , , , , , , , , , , , , , ,132.5,132.5, , , , 
North Greenwich ,2, , , , , , , , ,86.5,86.5, , , , , , , , , , 
North Harrow ,51, , , , , , , , , , ,157.0,157.0, , , , , , , , 
North Wembley ,48, , , , , , , , , , , , , , ,142.0,142.0, , , , 
Northfields ,24, , , , , , , , , , , , , , ,119.3,119.3, , , , 
Northolt ,43, , ,137.8,137.8, , , , , , , , , , , , , , , , 
Northwick Park ,56, , , , , , , , , , ,157.9,157.9, , , , , , , , 
Northwood ,77, , , , , , , , , , ,171.6,171.6, , , , , , , , 
Northwood Hills ,71, , , , , , , , , , ,165.0,165.0, , , , , , , , 
Notting Hill Gate ,28, , ,97.1,102.6,119.4,119.4, , , , , , , , , , , , , , 
Oakwood ,88, , , , , , , , , , , , , , ,181.8,181.8, , , , 
Old Street ,17, , , , , , , , , , , , ,92.0,92.0, , , , , , 
Osterley ,30, , , , , , , , , , , , , , ,124.2,124.2, , , , 
Oval ,4, , , , , , , , , , , , ,89.9,86.7, , , , , , 
Oxford Circus ,27,104.7,104.7,100.6,100.6, , , , , , , , , , , , ,104.1,104.1, , 
Paddington ,25,109.3,109.3, , ,118.8,118.8,122.4,122.4, , , , , , , , , , , , 
Park Royal ,47, , , , , , , , , , , , , , ,142.2,142.2, , , , 
Parsons Green ,3, , , , ,108.0,108.0, , , , , , , , , , , , , , 
Perivale ,20, , ,126.6,126.6, , , , , , , , , , , , , , , , 
Piccadilly Circus ,19,93.8,93.8, , , , , , , , , , , , ,86.8,86.8, , , , 
Pimlico ,5, , , , , , , , , , , , , , , , ,83.9,83.9, , 
Pinner ,54, , , , , , , , , , ,153.5,153.5, , , , , , , , 
Plaistow ,9, , , , ,102.4,102.4, , , , , , , , , , , , , , 
Preston Road ,45, , , , , , , , , , ,141.1,141.1, , , , , , , , 
Putney Bridge ,4, , , , ,111.0,111.0, , , , , , , , , , , , , , 
Queens Park ,38, , , , , , , , , , , , , , ,132.4,132.4, , , , 
Queensbury ,48, , , , , , , , ,151.2,151.2, , , , , , , , , , 
Queensway ,27, , ,103.1,103.1, , , , , , , , , , , , , , , , 
Ravenscourt Park ,5, , , , ,111.0,111.0, , , , , , , , , , , , , , 
Rayners Lane ,55, , , , , , , , , , ,148.8,148.8, , , , , , , , 
Redbridge ,12, , ,106.7,106.9, , , , , , , , , , , , , , , , 
Regent's Park ,28,104.2,102.2, , , , , , , , , , , , , , , , , , 
Richmond ,8, , , , ,107.0, , , , , , , , , , , , , , , 
Rickmansworth ,58, , , , , , , , , , ,157.6,157.6, , , , , , , , 
